Date,Type,Description,City
2017-05-25,bribery,"‘You may not have lived much under the sea--’ [‘I haven’t,’ said",Tulsa
2017-06-04,bribery,"‘Thank you, it’s a very interesting dance to watch,’ said Alice, feeling",Duluth
2017-06-06,bribery,"children she knew, who might do very well as pigs, and was just saying",Anaheim
2017-06-10,bribery,"Queen, who was reading the list of singers.",Philadelphia
2017-06-10,bribery,the best thing to get us dry would be a Caucus-race.’,Knoxville
2017-06-18,bribery,reason is--’ here the Mock Turtle yawned and shut his eyes.--‘Tell her,Newburgh
2017-06-20,bribery,Queen to-day?’,Saint Louis
2017-06-24,bribery,holiday?’,Costa Mesa
2017-06-25,bribery,held it out to the puppy; whereupon the puppy jumped into the air off,Sarasota
2017-06-27,bribery,"history, she do.’",Chicago
2017-07-06,bribery,of the cattle in the distance would take the place of the Mock Turtle’s,Lowell
2017-07-09,bribery,"‘I’ll fetch the executioner myself,’ said the King eagerly, and he",Kissimmee
2017-08-06,bribery,have been ill.’,Deltona
2017-09-01,bribery,"‘I don’t know where Dinn may be,’ said the Mock Turtle, ‘but if you’ve",Elizabeth
2017-09-04,bribery,"glass table. ‘Now, I’ll manage better this time,’ she said to herself,",Cape Coral
2017-09-06,bribery,"tell me, please, which way I ought to go from here?’",Aurora
2017-09-11,bribery,"‘I keep them to sell,’ the Hatter added as an explanation; ‘I’ve none of",Worcester
2017-09-14,bribery,"age, there was no more to be said.",High Point
2017-09-18,bribery,surprised he’ll be when he finds out who I am! But I’d better take him,Gilbert
2017-09-25,bribery,"the puppy began a series of short charges at the stick, running a very",Bloomington
2017-09-30,bribery,_I_ shan’t be able! I shall be a great deal too far off to trouble,Santa Ana
2017-10-02,bribery,"   ‘Speak roughly to your little boy,",Tampa
2017-10-05,bribery,"The players all played at once without waiting for turns, quarrelling",Durham
2017-10-06,bribery,    Because he knows it teases.’,Rockford
2017-10-09,bribery,‘And what are they made of?’ Alice asked in a tone of great curiosity.,Waterloo
2017-10-12,bribery,"‘Well, I can’t show it you myself,’ the Mock Turtle said: ‘I’m too",Akron
2017-10-13,bribery,she was terribly frightened all the time at the thought that it might be,West Covina
2017-10-14,bribery,"his eyes. He looked at Alice, and tried to speak, but for a minute or",New Orleans
2017-10-17,bribery,"shut up like a telescope! I think I could, if I only knew how to begin.’",Atlanta
2017-10-23,bribery,      breath.”,Evansville
2017-10-28,bribery,little thing grunted in reply (it had left off sneezing by this time).,Jersey City
2017-11-02,bribery,This time Alice waited patiently until it chose to speak again. In,Santa Clarita
2017-11-16,bribery,"could get away without being seen, when she noticed a curious appearance",Kenosha
2017-11-22,bribery,‘important--unimportant--unimportant--important--’ as if he were trying,Killeen
2017-11-23,bribery,"shoulders got to? And oh, my poor hands, how is it I can’t see you?’",Westminster
2017-11-24,bribery,"slate with one finger, as he found it made no mark; but he now hastily",Seattle
2017-11-24,bribery,"him,) ‘I’ll give him sixpence. _I_ don’t believe there’s an atom of",Akron
2017-12-02,bribery,‘But what am I to do?’ said Alice.,Baltimore
2017-12-02,bribery,Next came an angry voice--the Rabbit’s--‘Pat! Pat! Where are you?’ And,Tuscaloosa
2017-12-03,bribery,"There was not a moment to be lost: away went Alice like the wind, and",Peoria
2017-12-17,bribery,"‘It was the BEST butter,’ the March Hare meekly replied.",McAllen
2017-12-21,bribery,"‘She’s in prison,’ the Queen said to the executioner: ‘fetch her here.’",Lorain
2017-12-25,bribery,a-piece all round.,St. Paul
2017-12-25,bribery,"Alice opened the door and found that it led into a small passage, not",Chattanooga
2017-12-26,bribery,"‘Never mind!’ said the King, with an air of great relief. ‘Call the next",Norfolk
2018-01-06,bribery,"daughter ‘Ah, my dear! Let this be a lesson to you never to lose",Cambridge
2018-01-07,bribery,"great emphasis, looking hard at Alice as he said do.",Ann Arbor
2018-01-08,bribery,"began again, using the ink, that was trickling down his face, as long as",Chattanooga
2018-01-13,bribery,"‘How the creatures order one about, and make one repeat lessons!’",Danbury
2018-01-15,bribery,"Here the other guinea-pig cheered, and was suppressed.",Marysville
2018-01-17,bribery,"by another footman in livery, with a round face, and large eyes like a",Reno
2018-01-18,bribery,"Alice replied eagerly, for she was always ready to talk about her pet:",Boise
2018-01-25,bribery,"as the Rabbit, and had no reason to be afraid of it.",Elk Grove
2018-01-26,bribery,"looking for it, while the rest of the party went back to the game.",Columbia
2018-01-29,bribery,"the door opened inwards, and Alice’s elbow was pressed hard against it,",Boston
2018-02-09,bribery,"Luckily for Alice, the little magic bottle had now had its full effect,",Miami
2018-02-21,bribery,"theirs, and the small ones choked and had to be patted on the back.",Indianapolis
2018-03-07,bribery,The long grass rustled at her feet as the White Rabbit hurried by--the,Hemet
2018-03-09,bribery,"herself in a long, low hall, which was lit up by a row of lamps hanging",Vancouver
2018-03-20,bribery,  And concluded the banquet--],Murfreesboro
2018-03-31,bribery,By this time she had found her way into a tidy little room with a table,Port Arthur
2018-04-01,bribery,"two reasons. First, because I’m on the same side of the door as you",Springfield
2018-04-07,bribery,‘Call the next witness!’ said the King.,Eugene
2018-04-08,bribery,"anxiously about as it went, as if it had lost something; and she heard",Newark
2018-04-19,bribery,‘How do you know I’m mad?’ said Alice.,Poughkeepsie
2018-04-25,bribery,thing is to find my way into that lovely garden. I think that will be,Thousand Oaks
2018-01-15,fraud,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do
            eiusmod tempor incididunt ut labore et dolore magna aliqua.",Seattle
2017-01-01,fraud,forgotten to ask.’,Long Beach
2017-01-01,fraud,"Alice did not wish to offend the Dormouse again, so she began very",Oceanside
2017-01-09,fraud,"his fan and gloves--that is, if I can find them.’ As she said this, she",North Port
2017-01-13,fraud,"Dinah, and saying to her very earnestly, ‘Now, Dinah, tell me the truth:",Paterson
2017-01-14,fraud,"‘Off with their heads!’ and the procession moved on, three of the",Chicago
2017-01-14,fraud,‘I couldn’t afford to learn it.’ said the Mock Turtle with a sigh. ‘I,Lorain
2017-01-30,fraud,a bit.’,Raleigh
2017-02-01,fraud,close by her.,Tuscaloosa
2017-02-05,fraud,"with the words ‘DRINK ME,’ but nevertheless she uncorked it and put it",Salinas
2017-02-08,fraud,"growl, ‘the world would go round a deal faster than it does.’",Portland
2017-02-08,fraud,"up into hers--she could hear the very tones of her voice, and see that",Marysville
2017-02-12,fraud,"knowing how old it was, and, as the Lory positively refused to tell its",West Valley City
2017-02-14,fraud,‘Please come back and finish your story!’ Alice called after it; and the,Jackson
2017-02-14,fraud,CHAPTER IX. The Mock Turtle’s Story,Saint Paul
2017-02-15,fraud,"drunk half the bottle, she found her head pressing against the ceiling,",Kennewick
2017-02-22,fraud,"could get away without being seen, when she noticed a curious appearance",Jersey City
2017-02-22,fraud,"‘You might just as well say,’ added the March Hare, ‘that “I like what I",Chattanooga
2017-02-25,fraud,‘What do you mean by that?’ said the Caterpillar sternly. ‘Explain,Youngstown
2017-03-02,fraud,"She ate a little bit, and said anxiously to herself, ‘Which way? Which",Victorville
2017-03-04,fraud,"neither of the others took the least notice of her going, though she",Costa Mesa
2017-03-13,fraud,she was up to her chin in salt water. Her first idea was that she,Cape Coral
2017-03-16,fraud,"nothing better to say than his first remark, ‘It was the BEST butter,",Burlington
2017-03-27,fraud,"Queen jumped up and bawled out, “He’s murdering the time! Off with his",Round Lake Beach
2017-03-30,fraud,"‘it’s a vegetable. It doesn’t look like one, but it is.’",Santa Rosa
2017-04-03,fraud,"the Lizard in head downwards, and the poor little thing was waving its",Montgomery
2017-04-06,fraud,"‘We had the best of educations--in fact, we went to school every day--’",Ogden
2017-04-16,fraud,"‘Not a bit,’ said the Caterpillar.",Augusta
2017-04-19,fraud,"The Fish-Footman began by producing from under his arm a great letter,",Green Bay
2017-04-28,fraud,"‘That PROVES his guilt,’ said the Queen.",Dallas
2017-04-30,fraud,"The table was a large one, but the three were all crowded together at",Denton
2017-04-30,fraud,"unrolled the parchment scroll, and read as follows:--",Manchester
2017-05-11,fraud,down again into its nest. Alice crouched down among the trees as well as,Cleveland
2017-05-20,fraud,doesn’t suit my throat!’ and a Canary called out in a trembling voice to,San Bernardino
2017-05-29,fraud,haven’t had a wink of sleep these three weeks!’,Norwalk
2017-06-04,fraud,yourself.’,Las Cruces
2017-06-06,fraud,"‘They couldn’t have done that, you know,’ Alice gently remarked; ‘they’d",Bel Air
2017-06-24,fraud,"Poor Alice! It was as much as she could do, lying down on one side, to",San Bernardino
2017-06-27,fraud,"‘Now tell me, Pat, what’s that in the window?’",Myrtle Beach
2017-07-07,fraud,"its eyes, for it was getting very sleepy; ‘and they drew all manner of",Fullerton
2017-07-07,fraud,"Alice said nothing; she had sat down with her face in her hands,",Durham
2017-07-09,fraud,"‘Well, then,’ the Gryphon went on, ‘if you don’t know what to uglify is,",Dallas
2017-07-09,fraud,Soon her eye fell on a little glass box that was lying under the table:,Grayslake
2017-07-13,fraud,"‘Only mustard isn’t a bird,’ Alice remarked.",Lancaster
2017-07-15,fraud,"At last the Mouse, who seemed to be a person of authority among them,",Green Bay
2017-07-20,fraud,"it is you hate--C and D,’ she added in a whisper, half afraid that it",Aurora
2017-07-29,fraud,long as there was room for her.,Overland Park
2017-07-30,fraud,disappointment it was empty: she did not like to drop the jar for fear,North Las Vegas
2017-07-31,fraud,‘What a curious feeling!’ said Alice; ‘I must be shutting up like a,Boise
2017-08-03,fraud,it advisable to go with Edgar Atheling to meet William and offer him the,Youngstown
2017-08-05,fraud,"at last the Caterpillar took the hookah out of its mouth, and addressed",Bel Air
2017-08-10,fraud,"about two feet high, and was going on shrinking rapidly: she soon found",Toledo
2017-08-17,fraud,"‘I see!’ said the Queen, who had meanwhile been examining the roses.",Berkeley
2017-08-25,fraud,"‘Give your evidence,’ said the King.",Lincoln
2017-09-01,fraud,"know, with oh, such long curly brown hair! And it’ll fetch things when",Kalamazoo
2017-09-06,fraud,"‘No, please go on!’ Alice said very humbly; ‘I won’t interrupt again. I",Santa Clarita
2017-09-08,fraud,a large cauldron which seemed to be full of soup.,Panama City
2017-09-19,fraud,back to finish his story.,Bradenton
2017-09-21,fraud,"London is the capital of Paris, and Paris is the capital of Rome, and",Bremerton
2017-09-27,fraud,"rope--Will the roof bear?--Mind that loose slate--Oh, it’s coming",Macon
2017-10-02,fraud,the right-hand bit to try the effect: the next moment she felt a violent,Thousand Oaks
2017-10-09,fraud,"know, with oh, such long curly brown hair! And it’ll fetch things when",Inglewood
2017-10-13,fraud,"‘I can’t help it,’ said Alice very meekly: ‘I’m growing.’",Evansville
2017-10-18,fraud,"along the course, here and there. There was no ‘One, two, three, and",Sioux City
2017-10-27,fraud,"‘Digging for apples, indeed!’ said the Rabbit angrily. ‘Here! Come and",San Jose
2017-11-05,fraud,"‘Really, now you ask me,’ said Alice, very much confused, ‘I don’t",Port Saint Lucie
2017-11-13,fraud,"It was so long since she had been anything near the right size, that it",Flint
2017-11-16,fraud,"‘Hand it over here,’ said the Dodo.",Fort Smith
2017-11-19,fraud,"hands on her lap as if she were saying lessons, and began to repeat it,",Athens
2017-11-21,fraud,"arms, took the hookah out of its mouth again, and said, ‘So you think",New York City
2017-11-23,fraud,"‘It must be a very pretty dance,’ said Alice timidly.",Pomona
2017-11-24,fraud,all. I needn’t be afraid of them!’,Wilmington
2017-11-27,fraud,"Alice,) ‘Well, I hardly know--No more, thank ye; I’m better now--but I’m",Cedar Rapids
2017-11-27,fraud,    Exactly as we were.,Bakersfield
2017-11-28,fraud,"shouldn’t be hungry for it, you know.’",Ann Arbor
2017-12-06,fraud,"her, to pass away the time.",Scranton
2017-12-12,fraud,Next came an angry voice--the Rabbit’s--‘Pat! Pat! Where are you?’ And,Chula Vista
2017-12-29,fraud,"‘Why,’ said the Gryphon, ‘you first form into a line along the",Spokane
2017-12-31,fraud,"The door led right into a large kitchen, which was full of smoke from",Honolulu
2018-01-13,fraud,"theirs, and the small ones choked and had to be patted on the back.",Lincoln
2018-01-14,fraud,"whether it would like the name: however, it only grinned a little wider.",Beaumont
2018-01-15,fraud,"The Dormouse slowly opened his eyes. ‘I wasn’t asleep,’ he said in a",Yakima
2018-01-15,fraud,"King put on his spectacles and looked anxiously round, to make out who",Bryan
2018-01-17,fraud,half-past one as long as you liked.’,Baton Rouge
2018-01-20,fraud,and we’ve no time to wash the things between whiles.’,Salt Lake City
2018-01-24,fraud,"‘I think I should understand that better,’ Alice said very politely, ‘if",Hesperia
2018-01-27,fraud,on better.’,Bradenton
2018-02-02,fraud,"Alice opened the door and found that it led into a small passage, not",Johnson City
2018-02-09,fraud,deal to come before that!’,Olathe
2018-02-13,fraud,of hers that you have just been reading about; and when she had,Lafayette
2018-02-16,fraud,"‘Well, I shan’t go, at any rate,’ said Alice: ‘besides, that’s not a",Reading
2018-02-20,fraud,"just as the Dormouse crossed the court, she said to one of the officers",Clearwater
2018-02-21,fraud,doing?’ Alice whispered to the Gryphon. ‘They can’t have anything to put,Hampton
2018-02-24,fraud,for this curious child was very fond of pretending to be two people.,Augusta
2018-02-27,fraud,behind it was a little door about fifteen inches high: she tried the,Savannah
2018-03-13,fraud,perhaps after all it might tell her something worth hearing. For some,Durham
2018-03-25,fraud,corners: next the ten courtiers; these were ornamented all over with,Coral Springs
2018-04-01,fraud,"‘Why did you call him Tortoise, if he wasn’t one?’ Alice asked.",Melbourne
2018-04-14,fraud,"silence, and then another confusion of voices--‘Hold up his head--Brandy",Myrtle Beach
2018-04-27,fraud,"carefully, remarking, ‘I really must be getting home; the night-air",West Valley City
2018-04-28,fraud,"Alice glanced rather anxiously at the cook, to see if she meant to take",Memphis
2018-04-30,fraud,‘Why not?’ said the March Hare.,Houma
2018-01-15,murder,Life? Dont talk to me about life.,Albany
2018-01-15,murder,"Mama, I killed a man, put a gun against his head...",Reno
2018-02-15,murder,REDACTED REDACTED REDACTED,Pandas City
2018-02-15,murder,Someone killed the guard! He took an arrow to the knee!,Pandas City
2017-01-07,murder,"‘It proves nothing of the sort!’ said Alice. ‘Why, you don’t even know",Memphis
2017-01-08,murder,get” is the same thing as “I get what I like”!’,Round Lake Beach
2017-01-08,murder,"       HEARTHRUG,",Jacksonville
2017-01-21,murder,"her, to pass away the time.",Murfreesboro
2017-01-22,murder,"came near her, she began, in a low, timid voice, ‘If you please, sir--’",Temecula
2017-01-24,murder,"about something, my dear, and that makes you forget to talk. I can’t",Santa Clarita
2017-01-25,murder,"age knew the meaning of it at all. However, ‘jury-men’ would have done",Laredo
2017-02-20,murder,"knocking, and hurried upstairs, in great fear lest she should meet the",Madison
2017-02-21,murder,"‘I HAVE tasted eggs, certainly,’ said Alice, who was a very truthful",Chandler
2017-02-27,murder,name like an honest man.’,Manchester
2017-03-02,murder,"with the words ‘DRINK ME,’ but nevertheless she uncorked it and put it",Mobile
2017-03-08,murder,"ground as she spoke; ‘either you or your head must be off, and that in",Bonita Springs
2017-03-22,murder,"‘Yes,’ said Alice doubtfully: ‘it means--to--make--anything--prettier.’",Syracuse
2017-03-25,murder, “You can really have no notion how delightful it will be,Denver
2017-03-28,murder,the poor animal’s feelings. ‘I quite forgot you didn’t like cats.’,Louisville
2017-03-29,murder,had got so much into the way of expecting nothing but out-of-the-way,Grand Rapids
2017-03-30,murder,"‘I don’t know where Dinn may be,’ said the Mock Turtle, ‘but if you’ve",Paterson
2017-04-01,murder,it all seemed quite natural); but when the Rabbit actually TOOK A WATCH,North Charleston
2017-04-05,murder,"atom of meaning in it,’ but none of them attempted to explain the paper.",Harrisburg
2017-04-05,murder,"Alas! it was too late to wish that! She went on growing, and growing,",Memphis
2017-04-09,murder,"witness.’ And he added in an undertone to the Queen, ‘Really, my dear,",San Antonio
2017-04-17,murder,would change to dull reality--the grass would be only rustling in the,Aberdeen
2017-04-20,murder,"over their heads. She felt very curious to know what it was all about,",Scottsdale
2017-04-24,murder,"‘I never thought about it,’ said Alice. ‘Why?’",Wilmington
2017-04-29,murder,yourself!’,Richland
2017-05-02,murder,"enough of it now in sight, and no more of it appeared.",Norman
2017-05-13,murder,could.,Sioux Falls
2017-05-13,murder,"‘It’s a pun!’ the King added in an offended tone, and everybody laughed,",Denton
2017-05-19,murder,"The Duchess took her choice, and was gone in a moment.",Jersey City
2017-06-04,murder,"hands were clasped upon her knee, and the bright eager eyes were looking",Yonkers
2017-06-07,murder,"‘Back to land again, and that’s all the first figure,’ said the Mock",Cary
2017-06-09,murder,"‘Well, perhaps not,’ said Alice in a soothing tone: ‘don’t be angry",Bakersfield
2017-06-09,murder,to Alice as it spoke.,Oxnard
2017-06-11,murder,"    Be off, or I’ll kick you down stairs!’",Frederick
2017-06-12,murder,"‘I didn’t know that Cheshire cats always grinned; in fact, I didn’t know",Oceanside
2017-06-21,murder,"  Trims his belt and his buttons, and turns out his toes.’",Vero Beach
2017-07-04,murder,the best plan.’,Cary
2017-07-05,murder,her eyes; and once she remembered trying to box her own ears for having,Grand Prairie
2017-07-07,murder,same when I got up this morning? I almost think I can remember feeling a,Salt Lake City
2017-07-08,murder,  *    *    *    *    *    *    *,St. Louis
2017-07-16,murder,‘Why not?’ said the March Hare.,Riverside
2017-07-20,murder,"any more!’ And here poor Alice began to cry again, for she felt very",Hollywood
2017-07-24,murder,days and days.’,North Port
2017-08-02,murder,"‘Call it what you like,’ said the Cat. ‘Do you play croquet with the",Flint
2017-08-08,murder,    (We know it to be true):,Costa Mesa
2017-08-10,murder,Lory.,Aberdeen
2017-08-10,murder,began. Alice thought she had never seen such a curious croquet-ground in,Fairfield
2017-08-24,murder,‘The twinkling of the what?’ said the King.,Syracuse
2017-08-26,murder,"so closely against her foot, that there was hardly room to open her",Little Rock
2017-08-31,murder,Next came an angry voice--the Rabbit’s--‘Pat! Pat! Where are you?’ And,Virginia Beach
2017-09-07,murder,take more.’,Gastonia
2017-09-09,murder,"‘I won’t indeed!’ said Alice, in a great hurry to change the subject of",Provo
2017-09-26,murder,"Alice, she went on, ‘What’s your name, child?’",Cathedral City
2017-09-29,murder,‘What sort of people live about here?’,Hartford
2017-10-03,murder,"‘I should like it very much,’ said Alice, ‘but I haven’t been invited",Punta Gorda
2017-10-05,murder,it lasted.),Cape Coral
2017-10-10,murder,           condemn,Cedar Rapids
2017-10-12,murder,"WOULD always get into her eyes--and still as she listened, or seemed to",Davenport
2017-10-13,murder,"sharp little chin into Alice’s shoulder as she added, ‘and the moral",Nashua
2017-10-13,murder,"Alice was very glad to find her in such a pleasant temper, and thought",Stockton
2017-10-15,murder,"that dark hall, and wander about among those beds of bright flowers and",Eugene
2017-10-15,murder,"Quick, now!’ And Alice was so much frightened that she ran off at once",Austin
2017-10-16,murder,"Alice opened the door and found that it led into a small passage, not",Modesto
2017-10-17,murder,"minute or two, looking for them, and then quietly marched off after the",Bakersfield
2017-10-18,murder,"‘Don’t be impertinent,’ said the King, ‘and don’t look at me like that!’",Antioch
2017-10-21,murder,"and Alice looked round, eager to see the Queen.",Billings
2017-10-23,murder,    And mentioned me to him:,Round Lake Beach
2017-10-24,murder,without a cat! It’s the most curious thing I ever saw in my life!’,Rockford
2017-10-27,murder,like them raw.’,Youngstown
2017-11-06,murder,   Yet you balanced an eel on the end of your nose--,Charleston
2017-11-12,murder,about half no time! Take your choice!’,Downey
2017-11-22,murder,           (WITH ALICE’S LOVE).,Madison
2017-11-24,murder,"There were doors all round the hall, but they were all locked; and when",Ocala
2017-11-26,murder,"Alice,) ‘Well, I hardly know--No more, thank ye; I’m better now--but I’m",Hemet
2017-11-28,murder,"bend, I think?’",Topeka
2017-12-03,murder,"grow up, I’ll write one--but I’m grown up now,’ she added in a sorrowful",Yakima
2017-12-05,murder,"an agony of terror. ‘Oh, there goes his PRECIOUS nose’; as an unusually",Providence
2017-12-08,murder,"fire, and at once set to work throwing everything within her reach at",Norman
2017-12-08,murder,"replied; ‘and then the different branches of Arithmetic--Ambition,",Fairfield
2017-12-19,murder,that cats COULD grin.’,Marina
2017-12-31,murder,"short remarks, and she drew herself up and said, very gravely, ‘I think,",Glendale
2018-01-05,murder," Will you, won’t you, will you, won’t you, will you join the dance?",Sioux City
2018-01-06,murder,possibly hear you.’ And certainly there was a most extraordinary noise,Tempe
2018-01-20,murder,"‘You MUST remember,’ remarked the King, ‘or I’ll have you executed.’",Yonkers
2018-01-31,murder,"she thought of herself, ‘I wish the creatures wouldn’t be so easily",San Buenaventura
2018-02-01,murder,hookah into its mouth and began smoking again.,North Port
2018-02-09,murder,"‘Then the words don’t FIT you,’ said the King, looking round the court",Kalamazoo
2018-02-15,murder,"The baby grunted again, and Alice looked very anxiously into its face to",Lexington
2018-02-27,murder,     Beau--ootiful Soo--oop!,Visalia
2018-03-02,murder,‘Shall we try another figure of the Lobster Quadrille?’ the Gryphon went,Bel Air
2018-03-14,murder,"tone, ‘I’m afraid I’ve offended it again!’ For the Mouse was swimming",Baltimore
2018-03-19,murder,away. ‘You insult me by talking such nonsense!’,Fort Collins
2018-03-25,murder,"‘You’ll see me there,’ said the Cat, and vanished.",Lake Charles
2018-03-29,murder,   Waiting in a hot tureen!,Duluth
2018-03-29,murder,"bats eat cats?’ for, you see, as she couldn’t answer either question,",Odessa
2018-03-30,murder,"was not a VERY good opportunity for showing off her knowledge, as there",Oceanside
2018-04-10,murder,"leaves: ‘I should have liked teaching it tricks very much, if--if I’d",Lorain
2018-04-14,murder,"‘--so long as I get SOMEWHERE,’ Alice added as an explanation.",Davidson County
2018-04-17,murder,aloud; and in another moment it was out of sight.,Winter Haven
2018-04-27,murder,"‘Only a thimble,’ said Alice sadly.",St. Petersburg
2018-04-28,murder,wag my tail when I’m angry. Therefore I’m mad.’,Appleton
2018-04-29,murder,"(she was obliged to say ‘creatures,’ you see, because some of them were",Toledo
2018-04-30,murder,‘But what am I to do?’ said Alice.,Spokane
2018-01-15,murder,"Security footage shows that there were 2 witnesses. The first witness lives at the last house on ""Northwestern Dr"". The second witness, named Annabel, lives somewhere on ""Franklin Ave"".",Pandas City
2018-01-15,robbery,A Man Dressed as Spider-Man Is on a Robbery Spree,NYC
2017-11-10,robbery,"The Gjallarhorn shoulder-mounted rocket system was forged from
            the armor of Guardians who fell at the Twilight Gap. Gifted
            to the survivors of that terrible battle, the Gjallarhorn
            is seen as a symbol of honor and survival.",Pandas City
2017-01-05,robbery,"uglifying!’ it exclaimed. ‘You know what to beautify is, I suppose?’",Seaside
2017-01-09,robbery,"finished, her sister kissed her, and said, ‘It WAS a curious dream,",Grand Rapids
2017-01-15,robbery,"think,’ Alice went on, ‘that they’d let Dinah stop in the house if it",Cincinnati
2017-01-18,robbery,"the pool, and the great hall, with the glass table and the little door,",Charlotte
2017-01-24,robbery,"a little shriek, and went on: ‘--that begins with an M, such as",Macon
2017-02-02,robbery,four times seven is--oh dear! I shall never get to twenty at that rate!,Scranton
2017-02-05,robbery,The next witness was the Duchess’s cook. She carried the pepper-box in,Montgomery
2017-02-05,robbery,"‘This here young lady,’ said the Gryphon, ‘she wants for to know your",Irvine
2017-02-12,robbery,"It was high time to go, for the pool was getting quite crowded with the",Mesa
2017-02-17,robbery,MORE than nothing.’,Scranton
2017-03-02,robbery,"‘Yes, that’s it,’ said the Hatter with a sigh: ‘it’s always tea-time,",Palm Bay
2017-03-04,robbery,By this time she had found her way into a tidy little room with a table,Charleston
2017-03-07,robbery,sort of way to fly up into a tree.,West Covina
2017-03-08,robbery,on.’,Birmingham
2017-03-12,robbery,"‘And who are THESE?’ said the Queen, pointing to the three gardeners who",San Bernardino
2017-03-13,robbery,"‘It must have been that,’ said the King, ‘unless it was written to",Inglewood
2017-03-13,robbery,"the Rabbit coming to look for her, and she trembled till she shook the",Miramar
2017-03-22,robbery,had got so much into the way of expecting nothing but out-of-the-way,Brighton
2017-04-01,robbery,"‘It’s a mineral, I THINK,’ said Alice.",Lake Charles
2017-04-12,robbery,"‘Stolen!’ the King exclaimed, turning to the jury, who instantly made a",Athens
2017-04-30,robbery,   Do you think I can listen all day to such stuff?,Gainesville
2017-05-02,robbery,"hand and a piece of bread-and-butter in the other. ‘I beg pardon, your",Kaneohe
2017-05-09,robbery,The Mouse only growled in reply.,Brownsville
2017-05-20,robbery,"‘Then the Dormouse shall!’ they both cried. ‘Wake up, Dormouse!’ And",Madison
2017-05-25,robbery,"When the procession came opposite to Alice, they all stopped and looked",Rochester
2017-05-26,robbery,"‘Of course it is,’ said the Duchess, who seemed ready to agree to",Buffalo
2017-06-02,robbery,"you might like to try the thing yourself, some winter day, I will tell",Poughkeepsie
2017-06-14,robbery,"slate with one finger, as he found it made no mark; but he now hastily",Augusta
2017-06-14,robbery,"ground--and I should have croqueted the Queen’s hedgehog just now, only",Denton
2017-06-15,robbery,"the subjects on his flappers, ‘--Mystery, ancient and modern, with",Saginaw
2017-06-17,robbery,‘With extras?’ asked the Mock Turtle a little anxiously.,Atlanta
2017-06-20,robbery,elbow.’,Punta Gorda
2017-06-20,robbery,"Quick, now!’ And Alice was so much frightened that she ran off at once",Fargo
2017-06-26,robbery,"moment like a wild beast, screamed ‘Off with her head! Off--’",Waterbury
2017-06-26,robbery,"procession, came THE KING AND QUEEN OF HEARTS.",Houma
2017-06-26,robbery,and no one else seemed inclined to say anything.,Albuquerque
2017-06-28,robbery,my tea when I was sent for.’,Grayslake
2017-06-28,robbery,              THE END,Vancouver
2017-07-09,robbery,Next came an angry voice--the Rabbit’s--‘Pat! Pat! Where are you?’ And,Dallas
2017-07-26,robbery,looked like the right thing to eat or drink under the circumstances.,Escondido
2017-07-28,robbery,"children she knew, who might do very well as pigs, and was just saying",Jefferson
2017-07-29,robbery,"that did not sneeze, were the cook, and a large cat which was sitting on",McAllen
2017-08-02,robbery,"‘You might just as well say,’ added the March Hare, ‘that “I like what I",Tucson
2017-08-20,robbery,"arms, took the hookah out of its mouth again, and said, ‘So you think",Mesquite
2017-08-20,robbery,"herself. ‘Shy, they seem to put everything upon Bill! I wouldn’t be in",Oxnard
2017-08-22,robbery,"‘And ever since that,’ the Hatter went on in a mournful tone, ‘he won’t",Augusta
2017-08-22,robbery,Gryphon.,South Lyon
2017-08-25,robbery,"birds and beasts, as well as the whole pack of cards: the Knave was",Santa Maria
2017-08-25,robbery,"leaves: ‘I should have liked teaching it tricks very much, if--if I’d",Erie
2017-08-30,robbery,their mouths--and they’re all over crumbs.’,Waterbury
2017-08-30,robbery,‘important--unimportant--unimportant--important--’ as if he were trying,Burlington
2017-09-05,robbery,"she said to herself, and shouted out, ‘You’d better not do that again!’",Las Cruces
2017-09-19,robbery,‘And washing?’ said the Mock Turtle.,Bridgeport
2017-09-20,robbery,"make me smaller, I suppose.’",Wilmington
2017-09-26,robbery,‘Not I!’ said the Lory hastily.,Phoenix
2017-09-27,robbery,"she could, for her neck kept getting entangled among the branches, and",Marina
2017-09-28,robbery,"by another footman in livery, with a round face, and large eyes like a",Richmond County
2017-09-28,robbery,plenty of time as she went down to look about her and to wonder what was,Springfield
2017-10-09,robbery,as well as she could for sneezing.,Lake Charles
2017-10-15,robbery,"‘Yes, it IS his business!’ said Five, ‘and I’ll tell him--it was for",Washington
2017-10-18,robbery,four times seven is--oh dear! I shall never get to twenty at that rate!,Daytona Beach
2017-10-27,robbery,"Lizard’s slate-pencil, and the choking of the suppressed guinea-pigs,",Waterbury
2017-10-29,robbery,was a little startled by seeing the Cheshire Cat sitting on a bough of a,Murfreesboro
2017-11-06,robbery,"nearer, Alice could hear him sighing as if his heart would break. She",Myrtle Beach
2017-11-09,robbery,"Alice heard the Rabbit say, ‘A barrowful will do, to begin with.’",Jersey City
2017-11-17,robbery,that it was quite impossible to say whether the blows hurt it or not.,Jersey City
2017-11-20,robbery,"ringlets, and mine doesn’t go in ringlets at all; and I’m sure I can’t",Winter Haven
2017-11-20,robbery,‘Please come back and finish your story!’ Alice called after it; and the,St. Paul
2017-11-22,robbery,Alice)--‘and perhaps you were never even introduced to a lobster--’,Fayetteville
